success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rt,stimulus,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo
"","","","","","survey-text",500,2210194,"0.0-12.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",31345.1999999881,"","{""Q0"":""40%"",""Q1"":""I usually chose a color I thought I saw in the masks that subsequently covered the dot""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
"","","","","","html-button-response",501,2219552,"0.0-13.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",9354.29999998212,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
"","","","","","color-report-last-question",502,2228756,"0.0-14.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",2869.19999998808,"","","[5]","[343]",343,90,104.281095735971,24.5074052301297,294.50740523013,29417412,0,1,0,0,0,NaN,"","","","Q4colorReportOthers",NaN,4
"","","","","","html-button-response",503,2234565,"0.0-15.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",5806.5,"<p style=""font-size: 24px; "">This time, consider only your own experience, which may be the same or different from how others guess.  </p> <p>  </p><p> </p> Did you notice any patterns in the colors you chose when you were guessing? </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think you were more likely to select when guessing. </p> <p>  </p><p> </p> It is okay to select the same region, and it is okay if your answers are similar to the previous question. </p> <p>  </p><p> </p> <br> <br> <br>  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
"","","","","","color-report-last-question",504,2244113,"0.0-16.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",810.56662,"","","[1]","[224]",224,90,6.37718062360736,217.534809143879,127.534809143879,126185275,0,1,0,0,0,NaN,"","","","Q5colorReportSelf",NaN,4
"","","","","","continuous-colorCM7",498,1672399,"0.0-10.0-1.239-0.239","5d86d05f9854a60019240621","62ffb23f2636bd43a6cd2f50","62ffbcd0f1aeabad9f3976b8",1455,"","","[1,5,0]","[37,167,198]",37,11,200.930848488653,200.930848488653,189.930848488653,189,0,3,0,149.419999999925,157.739999999991,150,"[[[""img/mask76.png""],[""img/mask25.png""],[""img/mask63.png""]]]","","[1,5,0]","color",11,5
"","","","","","survey-text",499,1712768,"0.0-11.0","5d86d05f9854a60019240621","62ffb23f2636bd43a6cd2f50","62ffbcd0f1aeabad9f3976b8",40365,"","{""Q0"":""Some of the masks were so fast I could only remember the color of the actual mask and barely the dot. ""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,5
"","","","","","survey-text",500,1745735,"0.0-12.0","5d86d05f9854a60019240621","62ffb23f2636bd43a6cd2f50","62ffbcd0f1aeabad9f3976b8",32961,"","{""Q0"":""20"",""Q1"":""I tried to remember the first color that I saw. ""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,5
"","","","","","html-button-response",501,1756797,"0.0-13.0","5d86d05f9854a60019240621","62ffb23f2636bd43a6cd2f50","62ffbcd0f1aeabad9f3976b8",11062,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,5
"","","","","","color-report-last-question",502,1770568,"0.0-14.0","5d86d05f9854a60019240621","62ffb23f2636bd43a6cd2f50","62ffbcd0f1aeabad9f3976b8",4220856412747,"","","[0]","[231]",231,90,81.2025892900089,217.446830224971,127.446830224971,126202349,0,1,0,0,0,NaN,"","","","Q4colorReportOthers",NaN,5
