trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
184,753914,"558943fafdf99b5ccd435cb3",3988,"","[2,3,0]","[9,197,163]",9,352,41.2461784809526,41.2461784809526,49.2461784809526,47,0,3,0,154.452000000048,0,0,"[[[""img/mask15.png""],[""img/mask83.png""],[""img/mask76.png""]]]","","[2,3,0]","color",352,1,2,0,41.2461784809526,41.2461784809526,41.2461784809526,41.2461784809526,41.2461784809526
196,791378,"558943fafdf99b5ccd435cb3",2371,"","[7]","[292]",292,338,12.9126189584628,12.9126189584628,34.9126189584628,33,0,1,0,155.221999999951,0,0,"[[[""img/mask80.png""]]]","","[7]","color",338,1,7,135,12.9126189584628,122.087381041537,12.9126189584628,122.087381041537,122.087381041537
202,808450,"558943fafdf99b5ccd435cb3",2810,"","[2]","[14]",14,144,158.145137674517,158.145137674517,14.1451376745167,14,0,1,0,155.890000000014,0,0,"[[[""img/mask52.png""]]]","","[2]","color",144,1,2,0,158.145137674517,158.145137674517,158.145137674517,158.145137674517,158.145137674517
206,821290,"558943fafdf99b5ccd435cb3",4550,"","[7]","[39]",39,83,92.1921713282523,92.1921713282523,9.19217132825231,6,0,1,0,156.445999999996,0,0,"[[[""img/mask94.png""]]]","","[7]","color",83,1,7,135,92.1921713282523,42.8078286717477,92.1921713282523,42.8078286717477,42.8078286717477
208,826274,"558943fafdf99b5ccd435cb3",2151,"","[6,7,0]","[225,197,41]",225,62,291.609502855173,291.609502855173,229.609502855173,230,0,3,0,156.484000000055,0,0,"[[[""img/mask60.png""],[""img/mask93.png""],[""img/mask40.png""]]]","","[6,7,0]","color",62,1,6,180,291.609502855173,111.609502855173,291.609502855173,111.609502855173,111.609502855173
212,837858,"558943fafdf99b5ccd435cb3",3101,"","[3,1,2,4,7]","[251,116,326,79,184]",251,100,340.274410737439,340.274410737439,240.274410737439,240,0,5,0,143.391999999993,0,0,"[[[""img/mask18.png""],[""img/mask33.png""],[""img/mask95.png""],[""img/mask90.png""],[""img/mask77.png""]]]","","[3,1,2,4,7]","color",100,1,3,315,340.274410737439,25.2744107374394,340.274410737439,25.2744107374394,25.2744107374394
218,860098,"558943fafdf99b5ccd435cb3",1494,"","[0,6,1,7,3]","[321,183,260,162,130]",321,62,296.744962018411,296.744962018411,234.744962018411,235,0,5,0,150.437999999966,0,0,"[[[""img/mask32.png""],[""img/mask3.png""],[""img/mask60.png""],[""img/mask73.png""],[""img/mask7.png""]]]","","[0,6,1,7,3]","color",62,1,0,90,-63.2550379815891,153.255037981589,296.744962018411,153.255037981589,206.744962018411
220,865659,"558943fafdf99b5ccd435cb3",2388,"","[6]","[314]",314,340,15.3324145594342,15.3324145594342,35.3324145594343,33,0,1,0,141.917999999947,0,0,"[[[""img/mask67.png""]]]","","[6]","color",340,1,6,180,15.3324145594342,164.667585440566,15.3324145594342,164.667585440566,164.667585440566
222,871498,"558943fafdf99b5ccd435cb3",2793,"","[5,2,4,6,1]","[185,282,321,229,129]",185,270,218.898871564885,218.898871564885,308.898871564885,308,0,5,0,156.033999999985,0,0,"[[[""img/mask38.png""],[""img/mask32.png""],[""img/mask41.png""],[""img/mask46.png""],[""img/mask66.png""]]]","","[5,2,4,6,1]","color",270,1,5,225,218.898871564885,6.1011284351147,218.898871564885,6.1011284351147,6.1011284351147
252,965690,"558943fafdf99b5ccd435cb3",3722,"","[2,3,1,4,7]","[291,123,223,29,2]",291,135,10.407241649437,10.407241649437,235.407241649437,234,0,5,0,155.969999999972,0,0,"[[[""img/mask68.png""],[""img/mask19.png""],[""img/mask28.png""],[""img/mask25.png""],[""img/mask32.png""]]]","","[2,3,1,4,7]","color",135,1,2,0,10.407241649437,10.407241649437,10.407241649437,10.407241649437,10.407241649437
