numericalAnswer.keys,subName
216,s4_58ae2c4ed6a2220001179f7c
230,s4_58ae2c4ed6a2220001179f7c
269,s4_58ae2c4ed6a2220001179f7c
206,s4_58ae2c4ed6a2220001179f7c
268,s5_59fd7b4a728b1b0001ad86fc
180,s5_59fd7b4a728b1b0001ad86fc
74,s5_59fd7b4a728b1b0001ad86fc
267,s5_59fd7b4a728b1b0001ad86fc
73,s5_59fd7b4a728b1b0001ad86fc
353,s5_59fd7b4a728b1b0001ad86fc
167,s5_59fd7b4a728b1b0001ad86fc
155,s5_59fd7b4a728b1b0001ad86fc
115,s5_59fd7b4a728b1b0001ad86fc
18,s5_59fd7b4a728b1b0001ad86fc
165,s5_59fd7b4a728b1b0001ad86fc
356,s5_59fd7b4a728b1b0001ad86fc
64,s5_59fd7b4a728b1b0001ad86fc
199,s5_59fd7b4a728b1b0001ad86fc
40,s5_59fd7b4a728b1b0001ad86fc
346,s5_59fd7b4a728b1b0001ad86fc
90,s5_59fd7b4a728b1b0001ad86fc
79,s5_59fd7b4a728b1b0001ad86fc
176,s5_59fd7b4a728b1b0001ad86fc
279,s5_59fd7b4a728b1b0001ad86fc
40,s5_59fd7b4a728b1b0001ad86fc
45,s5_59fd7b4a728b1b0001ad86fc
340,s5_59fd7b4a728b1b0001ad86fc
109,s5_59fd7b4a728b1b0001ad86fc
314,s5_59fd7b4a728b1b0001ad86fc
37,s5_59fd7b4a728b1b0001ad86fc
185,s5_59fd7b4a728b1b0001ad86fc
185,s5_59fd7b4a728b1b0001ad86fc
254,s5_59fd7b4a728b1b0001ad86fc
53,s5_59fd7b4a728b1b0001ad86fc
5,s5_59fd7b4a728b1b0001ad86fc
83,s5_59fd7b4a728b1b0001ad86fc
327,s5_59fd7b4a728b1b0001ad86fc
104,s5_59fd7b4a728b1b0001ad86fc
299,s5_59fd7b4a728b1b0001ad86fc
27,s6_5a138c9c844c7a00015e57d3
355,s6_5a138c9c844c7a00015e57d3
18,s6_5a138c9c844c7a00015e57d3
95,s6_5a138c9c844c7a00015e57d3
226,s6_5a138c9c844c7a00015e57d3
13,s6_5a138c9c844c7a00015e57d3
299,s6_5a138c9c844c7a00015e57d3
354,s6_5a138c9c844c7a00015e57d3
219,s6_5a138c9c844c7a00015e57d3
279,s6_5a138c9c844c7a00015e57d3
324,s6_5a138c9c844c7a00015e57d3
157,s6_5a138c9c844c7a00015e57d3
308,s6_5a138c9c844c7a00015e57d3
254,s6_5a138c9c844c7a00015e57d3
31,s6_5a138c9c844c7a00015e57d3
308,s6_5a138c9c844c7a00015e57d3
160,s6_5a138c9c844c7a00015e57d3
10,s6_5a138c9c844c7a00015e57d3
9,s6_5a138c9c844c7a00015e57d3
336,s6_5a138c9c844c7a00015e57d3
136,s6_5a138c9c844c7a00015e57d3
319,s6_5a138c9c844c7a00015e57d3
2,s6_5a138c9c844c7a00015e57d3
3,s6_5a138c9c844c7a00015e57d3
237,s6_5a138c9c844c7a00015e57d3
292,s6_5a138c9c844c7a00015e57d3
301,s6_5a138c9c844c7a00015e57d3
235,s6_5a138c9c844c7a00015e57d3
73,s6_5a138c9c844c7a00015e57d3
47,s6_5a138c9c844c7a00015e57d3
209,s6_5a138c9c844c7a00015e57d3
46,s6_5a138c9c844c7a00015e57d3
276,s6_5a138c9c844c7a00015e57d3
262,s6_5a138c9c844c7a00015e57d3
47,s6_5a138c9c844c7a00015e57d3
107,s7_5af5262f1b55800001f4a418
106,s7_5af5262f1b55800001f4a418
147,s7_5af5262f1b55800001f4a418
128,s7_5af5262f1b55800001f4a418
21,s7_5af5262f1b55800001f4a418
191,s7_5af5262f1b55800001f4a418
145,s7_5af5262f1b55800001f4a418
317,s7_5af5262f1b55800001f4a418
94,s7_5af5262f1b55800001f4a418
195,s7_5af5262f1b55800001f4a418
40,s7_5af5262f1b55800001f4a418
269,s7_5af5262f1b55800001f4a418
193,s7_5af5262f1b55800001f4a418
73,s7_5af5262f1b55800001f4a418
165,s7_5af5262f1b55800001f4a418
335,s7_5af5262f1b55800001f4a418
186,s7_5af5262f1b55800001f4a418
9,s7_5af5262f1b55800001f4a418
211,s7_5af5262f1b55800001f4a418
343,s7_5af5262f1b55800001f4a418
87,s7_5af5262f1b55800001f4a418
258,s7_5af5262f1b55800001f4a418
358,s7_5af5262f1b55800001f4a418
52,s7_5af5262f1b55800001f4a418
17,s7_5af5262f1b55800001f4a418
76,s7_5af5262f1b55800001f4a418
220,s7_5af5262f1b55800001f4a418
214,s7_5af5262f1b55800001f4a418
146,s7_5af5262f1b55800001f4a418
331,s7_5af5262f1b55800001f4a418
29,s7_5af5262f1b55800001f4a418
276,s7_5af5262f1b55800001f4a418
151,s7_5af5262f1b55800001f4a418
228,s7_5af5262f1b55800001f4a418
65,s7_5af5262f1b55800001f4a418
252,s8_5b81c0bc35c967000197117f
301,s8_5b81c0bc35c967000197117f
26,s8_5b81c0bc35c967000197117f
227,s8_5b81c0bc35c967000197117f
331,s8_5b81c0bc35c967000197117f
254,s8_5b81c0bc35c967000197117f
219,s8_5b81c0bc35c967000197117f
257,s8_5b81c0bc35c967000197117f
294,s8_5b81c0bc35c967000197117f
340,s8_5b81c0bc35c967000197117f
120,s8_5b81c0bc35c967000197117f
73,s8_5b81c0bc35c967000197117f
240,s8_5b81c0bc35c967000197117f
155,s8_5b81c0bc35c967000197117f
273,s8_5b81c0bc35c967000197117f
74,s8_5b81c0bc35c967000197117f
101,s8_5b81c0bc35c967000197117f
272,s8_5b81c0bc35c967000197117f
6,s8_5b81c0bc35c967000197117f
39,s8_5b81c0bc35c967000197117f
34,s8_5b81c0bc35c967000197117f
261,s8_5b81c0bc35c967000197117f
303,s8_5b81c0bc35c967000197117f
257,s8_5b81c0bc35c967000197117f
270,s8_5b81c0bc35c967000197117f
269,s8_5b81c0bc35c967000197117f
304,s8_5b81c0bc35c967000197117f
19,s8_5b81c0bc35c967000197117f
43,s8_5b81c0bc35c967000197117f
254,s8_5b81c0bc35c967000197117f
79,s8_5b81c0bc35c967000197117f
290,s8_5b81c0bc35c967000197117f
301,s8_5b81c0bc35c967000197117f
248,s8_5b81c0bc35c967000197117f
239,s8_5b81c0bc35c967000197117f
293,s9_5bf6fc936c445d0001aeba98
110,s9_5bf6fc936c445d0001aeba98
141,s9_5bf6fc936c445d0001aeba98
155,s9_5bf6fc936c445d0001aeba98
71,s9_5bf6fc936c445d0001aeba98
129,s9_5bf6fc936c445d0001aeba98
88,s9_5bf6fc936c445d0001aeba98
140,s9_5bf6fc936c445d0001aeba98
161,s9_5bf6fc936c445d0001aeba98
248,s9_5bf6fc936c445d0001aeba98
49,s9_5bf6fc936c445d0001aeba98
247,s9_5bf6fc936c445d0001aeba98
19,s9_5bf6fc936c445d0001aeba98
215,s9_5bf6fc936c445d0001aeba98
76,s9_5bf6fc936c445d0001aeba98
192,s9_5bf6fc936c445d0001aeba98
104,s9_5bf6fc936c445d0001aeba98
142,s9_5bf6fc936c445d0001aeba98
301,s9_5bf6fc936c445d0001aeba98
1,s9_5bf6fc936c445d0001aeba98
209,s9_5bf6fc936c445d0001aeba98
265,s9_5bf6fc936c445d0001aeba98
345,s9_5bf6fc936c445d0001aeba98
343,s9_5bf6fc936c445d0001aeba98
354,s9_5bf6fc936c445d0001aeba98
